,leftAvgForce,leftAvgForce,leftAvgForce,leftImpulse,leftImpulse,leftImpulse,leftMaxForce,leftMaxForce,leftMaxForce,leftTorque,leftTorque,leftTorque,rightAvgForce,rightAvgForce,rightAvgForce,rightImpulse,rightImpulse,rightImpulse,rightMaxForce,rightMaxForce,rightMaxForce,rightTorque,rightTorque,rightTorque,ForceSymmetry,ForceSymmetry,ForceSymmetry,ImpulseSymmetry,ImpulseSymmetry,ImpulseSymmetry,MaxForceSymmetry,MaxForceSymmetry,MaxForceSymmetry,TorqueSymmetry,TorqueSymmetry,TorqueSymmetry,days_since_first_test,days_since_first_test,days_since_first_test
,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
sport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baseball,389.2440098722416,101.04900316007733,205,3423.1598780487802,2394.916265324129,205,404.6231707317073,99.87048788401557,205,175.97578719512197,45.673237560042296,205,376.36624274099887,101.11064834691933,205,3282.1408292682927,2298.2502034146833,205,394.9512195121951,103.66247518152555,205,171.6633987804878,46.57092330983708,205,1.0428789303935184,0.11859168485917655,205,1.0596357195547395,0.1318788958518569,205,1.0362649917016498,0.11522853127135305,205,1.0362649917016498,0.11522853127135309,205,265.5609756097561,262.81163096711015,205
combined,365.85615817340744,106.31787302327336,3186,4344.506629001884,2455.6860961880516,3186,384.4244350282486,108.80562634103114,3186,168.50387040960453,54.01484667693535,3186,351.06498893970644,101.07368158691624,3186,4093.598722536096,2368.0086382651307,3186,369.5271500313873,103.9971234983226,3186,162.0044343220339,51.63804393452996,3186,1.0477012837794504,0.1255840207006058,3186,1.0807436120751248,0.16545166747316284,3186,1.0471779575216613,0.12789610791999778,3186,1.0471779575216613,0.12789610791999784,3186,317.68267419962336,264.2636665490817,3186
football,446.73971836419753,98.33038588867453,972,5506.2994650205765,2621.3973770485745,972,470.1414609053498,97.63284105276522,972,211.14865277777778,50.80866216840056,972,426.6471257716049,90.56684193406208,972,5216.058539094651,2518.6011451796485,972,448.50797325102883,89.56208040720368,972,201.38032060185185,46.6340910862259,972,1.0523227040087801,0.12553765584183893,972,1.074040495453761,0.1557341744294832,972,1.0536185391395294,0.12585467250971397,972,1.0536185391395294,0.12585467250971402,972,373.1738683127572,271.19628869000576,972
mens basketball,375.70028935185184,78.1926796024923,144,4694.594722222222,1889.3609763782868,144,400.07118055555554,82.54978717678323,144,196.1572265625,44.81573292910533,144,365.9648726851852,83.51361822082967,144,4373.847604166667,1697.2657933323446,144,391.0798611111111,90.02696105869116,144,191.69834375,49.25026259624248,144,1.0375777788213192,0.12107866774743385,144,1.0798807317375045,0.16583592664474248,144,1.0341310910226849,0.11900672598031681,144,1.0341310910226849,0.11900672598031682,144,233.29861111111111,216.11500046186273,144
mens lax,396.8986434108527,77.60497217650972,215,4274.7013488372095,2232.4015247633943,215,413.0686046511628,78.98336733642667,215,183.369825,37.15974247936089,215,373.3119379844961,69.2419656998823,215,4014.7371860465123,2183.190009021003,215,389.67093023255813,70.45688367416307,215,173.03125290697676,33.44605089941958,215,1.0665474537889374,0.11355479522431924,215,1.0830046841830634,0.1438125351934033,215,1.0635655759090716,0.11051673458355456,215,1.0635655759090716,0.11051673458355457,215,219.55348837209303,221.97365692490527,215
mens soccer,381.4421079958463,81.08877862638488,321,4783.267009345795,2434.6372484679814,321,397.7803738317757,80.08974490288884,321,170.82393224299065,39.06148109978263,321,379.7176401869159,77.93750367809004,321,4682.754049844237,2466.431803814302,321,397.5623052959502,79.17226331104852,321,170.84278738317758,38.98874267221024,321,1.009033618030795,0.12052380032448354,321,1.0393231235096922,0.14649689714482403,321,1.0066571030973206,0.12292064942634817,321,1.0066571030973206,0.12292064942634817,321,299.28660436137073,252.18846891015085,321
softball,310.31578014184396,73.99350267052057,94,3318.2196276595746,1526.984666667711,94,326.82978723404256,75.01006395529802,94,143.8724680851064,33.945432379354806,94,292.60048758865247,68.64275527159099,94,2885.3478723404255,1388.296961545628,94,308.32978723404256,71.61086424121414,94,135.67562234042552,32.133868438177124,94,1.063463077533444,0.12278994238508134,94,1.1692469515227717,0.19261474962834607,94,1.0653105939861136,0.128089259790075,94,1.0653105939861136,0.12808925979007502,94,282.6489361702128,270.0074753026038,94
tennis,261.9214285714286,40.26756757883637,35,2435.070857142857,711.4463593566915,35,272.47857142857146,40.12106547635521,35,114.0190392857143,16.872821297612038,35,246.56547619047618,40.42223441247764,35,2286.356714285714,871.5054713506013,35,259.09285714285716,45.09602033905174,35,108.45298928571428,19.210675136538747,35,1.0671488357869598,0.14513569185126338,35,1.117023585774998,0.22580674365929781,35,1.0611364883913346,0.15155584144847756,35,1.0611364883913346,0.15155584144847756,35,169.68571428571428,194.76135796050983,35
track and field,312.3153735632184,82.31891268194825,87,4072.5478735632187,1929.021167720646,87,328.60057471264366,80.80264555530117,87,133.2587974137931,36.35711969554808,87,290.8477011494253,69.49820165596752,87,3774.711379310345,2057.9629128148376,87,308.1551724137931,71.39618053529237,87,125.18937931034483,33.64942980091041,87,1.0471807726295048,0.12765727292299683,87,1.0804862904695574,0.1756862804854246,87,1.0474612948734725,0.1342862566203092,87,1.0474612948734725,0.13428625662030927,87,137.35632183908046,209.73111118827194,87
womens basketball,302.23889462809916,75.6603855969042,242,3098.2893595041323,1940.8604125075315,242,320.7138429752066,81.01027664244081,242,136.46982179752067,36.773350707962294,242,289.8724173553719,67.95084448298603,242,2866.829442148761,1765.3255286739513,242,307.73037190082647,72.74077829410454,242,131.11413378099175,33.83979843325929,242,1.0491802845066758,0.14082686896524751,242,1.0901434558087242,0.18210845952630988,242,1.0514690517620493,0.14983414893666824,242,1.0514690517620493,0.14983414893666838,242,333.8429752066116,248.91642378373857,242
womens soccer,291.734335443038,57.16472589805399,316,3858.3759810126585,1728.2839181095276,316,305.4572784810127,58.4782600565072,316,124.68921123417722,25.634590491376994,316,279.04368407172996,56.90120473653983,316,3588.3689240506333,1636.7447675484561,316,292.6495253164557,58.042178080098736,316,119.58570925632912,26.005991703656413,316,1.0528126056484766,0.11534531759671171,316,1.096180919426305,0.16444787765866448,316,1.051866496855076,0.12114431975057918,316,1.051866496855076,0.1211443197505792,316,354.7025316455696,265.34359897570533,316
womens volleyball,320.4103830645161,97.31505276301445,124,4558.045443548387,2684.9403219297064,124,344.35887096774195,101.34782357520245,124,149.35625201612905,41.62789222439052,124,311.9458501344086,90.44794555179473,124,4295.545725806452,2485.5147870674136,124,336.1209677419355,95.53356518577458,124,145.71685887096774,38.86240567811244,124,1.0261761559992755,0.0981783753607264,124,1.064427022521018,0.14819696170988972,124,1.0272066403780304,0.11089173186240824,124,1.0272066403780304,0.11089173186240825,124,301.13709677419354,232.07737477172054,124
womes lax,276.9761557886558,57.396401462094396,429,3191.8250582750584,2024.706771473209,429,290.73543123543124,58.47350619104248,429,123.1645437062937,26.65409804996401,429,263.50014568764567,54.292351759279086,429,2940.510431235431,1893.7243912670244,429,277.1357808857809,57.214779768691905,429,117.4976722027972,26.32582296378191,429,1.0589540584091817,0.13777064145490542,429,1.10084637289768,0.19286386367456101,429,1.0588427476742435,0.1392420598628953,429,1.0588427476742435,0.1392420598628953,429,334.3286713286713,275.3143770469397,429
